Size,BST/Insert,BST/Remove,BST/Search,DLL/Insert at the back,DLL/Insert at the front,DLL/Remove from the back,DLL/Remove from the front,DLL/Search,Hash Table/Insert,Hash Table/Remove,Hash Table/Search,SLL/Insert at the back,SLL/Insert at the front,SLL/Remove from the back,SLL/Remove from the front,SLL/Search,Vector/Insert at the back,Vector/Insert at the front,Vector/Remove from the back,Vector/Remove from the front,Vector/Search
250,832691,531658,353210,264577,133244,55870,65116,2293116,29077792,203806,69159,910973,137097,1059828,67566,2152758,147796,8573846,68079,8233768,2075424
500,885478,608254,439038,136017,127581,54699,60096,6914628,327899,207599,119711,2381934,138607,2993052,67248,6473650,129884,24962844,57994,24597637,6274311
750,1033078,680303,404670,142922,127419,70901,59406,11588706,307785,219940,95750,3938361,163270,4881851,70202,10753570,198927,44456288,56281,40399416,10574682
1000,1044449,672991,470752,139891,126273,53869,58270,16278017,416949,227841,62326,5738393,98897,6901198,65043,15047347,86834,57583224,56427,56271802,14795347
1250,1094605,706866,492681,165877,138195,55555,56633,20623828,346231,215173,61209,7281442,93794,8776627,66318,19383934,272845,74966230,55503,72513886,19105088
1500,1081920,737291,548844,134794,152372,56471,59949,25013128,328000,205907,59660,8629241,99748,10758991,67177,24609354,100822,92367298,54495,90160022,22838437
1750,1230798,838893,550273,135431,127821,71958,56647,29344564,504880,212915,64512,10264257,144940,12711257,72464,28379933,88972,108084347,55628,108072341,26967466
2000,1268375,766676,576814,134727,128248,53956,57980,34106227,292894,221300,67987,11952741,174986,14787286,70986,32406689,86504,124223898,54489,122309080,30974891
2250,1160463,743037,585762,130826,135147,53905,58356,38700403,305488,225846,69099,13346910,148274,16595471,72683,36609954,394979,140844010,52961,139039399,35386807
2500,1312249,860789,625983,140548,123963,54404,71160,43258148,353528,248613,68566,14909135,144600,18737164,69821,41060609,88351,157654488,56425,155087918,39525410
2750,1286491,807888,606743,142060,127478,54535,54559,47846633,408749,238048,89597,16210014,161236,22080929,67884,45218602,82871,174319269,53389,170616605,45357845
3000,1257003,808891,611493,134612,128069,55541,56078,52296893,410709,246499,68379,17739151,171781,22615199,67863,49416982,106759,190164555,85188,190714987,46498591
3250,1273021,823789,628274,132860,135292,53786,55391,57200513,857465,220700,67872,19842826,180450,24265124,66029,54424693,83714,207493799,86067,206044513,61831277
3500,1243014,825863,618176,132178,191935,58188,61539,61635796,295031,220004,60000,21597304,258755,25335578,71399,58210036,84517,224658621,51769,222893510,56420167
3750,1328080,975430,621700,155429,155923,55943,63064,66120454,327938,228125,59564,23623003,179841,28260928,91420,62876143,82433,240692008,52838,237419063,60000171
4000,1203143,866771,610197,130653,152063,52770,60703,71451766,440401,254598,59955,25884816,169936,30439324,85699,67389809,86684,256449583,50004,253205463,64892210
4250,1321036,844726,644165,130793,169374,54017,61616,75625269,420687,249463,60696,27089768,157985,35975979,66379,72124010,686557,272492279,49872,270680361,68351441
4500,4503184,850249,621164,128752,145165,53308,60008,80915248,397778,234852,60853,28962010,198159,38158950,76616,75664887,82852,289945125,49984,287450481,72820918
4750,1514957,856843,613323,130397,133895,53827,59110,85077466,382133,230980,65035,31505602,210664,35925332,76453,81020346,103093,308878798,49772,306488241,74934017
5000,1495835,921543,605608,131695,135803,53393,79506,91370175,396936,224961,67081,32498540,223728,37669157,78252,87470266,85031,323286942,50662,324719813,103208374
5250,1260673,857691,612053,131145,161047,55155,59866,93482627,358051,239788,67417,33421191,241173,39988452,74131,91278611,85653,341328725,52071,333110919,85933204
5500,1370165,859102,688681,130325,181957,54214,63727,98714677,361914,233211,67301,35481050,193932,41700806,75500,97288312,82992,361059151,53684,350945072,89977868
5750,1544199,874795,613901,129961,139603,53046,65885,110777525,366870,233442,67155,37326948,146945,44019524,79983,101660939,94321,375853642,50666,365262476,93725013
6000,1344127,1001697,610437,143077,155766,53874,64039,107283909,364202,242736,67501,40531555,146123,45659304,77472,108062683,81647,389961000,119924,396892038,97738393
6250,1472019,997355,674625,130294,203198,53666,59491,118558894,360785,237327,68328,41030944,155595,48193798,80132,110662904,91355,414298580,49297,413697705,101593244
6500,1479865,879197,709852,134330,159997,53843,61056,117061001,1256794,236858,75154,42726947,192937,50512209,75876,117071820,85051,422282020,52979,416157642,106560030
6750,1450295,956195,670251,138425,138126,52561,63015,121190688,302810,230588,61034,44422954,183624,51821753,78513,120726893,86877,443326914,51101,432146788,111294532
7000,1547551,1010658,710462,131424,142124,53640,63438,145226863,388279,234218,70985,46617558,168672,52992873,124045,124485942,81566,456994613,50580,449130731,115699267
7250,1620940,972550,660513,156505,171432,53267,58767,132621859,334655,239741,61360,48084403,169893,55607011,77309,131841037,83406,481279613,48782,479116651,118282341
7500,1434475,918424,658457,145975,152834,53682,58702,142822741,312370,252275,61664,51004440,191775,57185410,79832,136065360,81616,502217652,50717,483693551,122377187
7750,1391198,1015065,692424,137950,139910,53909,60368,141648389,315371,305030,61710,51529498,169856,59580300,78543,144832643,82957,510482095,50977,509815234,127576389
8000,1638169,912652,662136,132307,161936,53087,59489,146086257,312237,257379,61365,52918893,188662,61290416,75042,162127878,80551,531862218,48262,522448897,130103687
8250,1368759,926880,656028,132852,137395,52470,59409,150414708,342209,232310,61125,54553778,161728,63265878,79089,153026630,1335801,560957870,49169,539435057,135379989
8500,1048649,988119,653317,134055,133436,53695,60541,155101279,338902,241914,63080,56326044,155994,65515678,82696,171836371,95712,560025078,50970,560534915,140300361
8750,1527379,1054911,677764,135530,150227,54632,59447,160079665,353465,230973,68491,58116941,153719,68323731,78845,183082218,82233,580793662,117593,570414438,141804490
